,average,std
RainbowAgent1,17.4,2.4585451886114367
RainbowAgent2,19.7,1.4181364924121764
RainbowAgent3,19.0,3.9440531887330774
RainbowAgent4,20.9,2.4244128727957572
RainbowAgent5,18.0,5.011098792790969
