,average,std
IGGIAgent,5.6,4.427188724235731
InternalAgent,0.7,2.2135943621178655
OuterAgent,9.7,3.945461527713414
LegalRandomAgent,0.0,0.0
VanDenBerghAgent,7.3,6.129165250396392
FlawedAgent,0.0,0.0
PiersAgent,8.3,5.982381539896038
RainbowAgent,2.2,3.8815804341359033
