,SimpleAgent,RandomAgent,InternalAgent,OuterAgent,RainbowAgent
SimpleAgent,,,,,0.0
RandomAgent,,,,,0.0
InternalAgent,,,,,4.576510072581994
OuterAgent,,,,,2.279132388529557
RainbowAgent,0.0,0.0,2.803767306876787,4.333333333333333,0.0
